census_tract,num_bll_indicator,perc_bll_indicator,num_bll,tract_name,imprisonment_rt,total_pop_2020,male_population,median_age,white,black,native_am,asian,pac_islander,other_race,age_0_to_14,age_15_to_29,age_30_to_44,age_45_to_64,perc_male,med_income,POC_other,race_categorical
06059063908,5,3.2679738562091507,153,"Orange County, Census Tract 639.08",226,5732,2886,35.2,52,1.9,1.3,17.6,0.4,12.4,12.5,25.299999999999997,28.4,22.4,50.348918353105375,90331,15.600000000000001,below_median_poc_other
06031001703,30,5.357142857142857,560,"Kings County, Census Tract 17.03",612,4549,2311,25.7,21.6,0.4,1.8,0.1,0.1,59.2,31.7,24.8,19.9,16.799999999999997,50.80237414816443,51197,61.400000000000006,above_median_poc_other
06081601601,0,0,42,"San Mateo County, Census Tract 6016.01",242,2884,1433,45.1,24,2.7,1,38.7,0.5,19.5,14.2,17.5,18.1,29.6,49.6879334257975,97138,23.2,above_median_poc_other
06073018522,0,0,99,"San Diego County, Census Tract 185.22",167,5371,2611,35,51.9,5.4,1.3,10.5,1.6,11.3,19.799999999999997,22.6,22.6,24.799999999999997,48.61292124371626,108816,18,below_median_poc_other
06111005911,0,0,62,"Ventura County, Census Tract 59.11",204,3912,1911,46.9,70.9,1.7,0.4,6.7,0.1,6.9,14,17.1,17.4,28.6,48.84969325153374,101296,9,below_median_poc_other
06099000505,1,0.5102040816326531,196,"Stanislaus County, Census Tract 5.05",212,5187,2494,38.6,47.2,5.6,1.8,12,2.3,17.9,19.2,20.1,18.6,25.7,48.08174281858492,72316,25.299999999999997,above_median_poc_other
06037208002,8,3.3472803347280333,239,"Los Angeles County, Census Tract 2080.02",604,4113,1984,32.2,21,5.3,3.5,7.4,0.2,48.4,18,27.1,25.5,22,48.23729637734014,37443,57.2,above_median_poc_other
06029001401,24,4.8582995951417,494,"Kern County, Census Tract 14.01",959,4750,2473,29.4,25.1,6.3,2.4,1,0.1,48.5,26.1,25,21.6,20.4,52.06315789473685,27597,57.2,above_median_poc_other
06037920314,1,1.3157894736842104,76,"Los Angeles County, Census Tract 9203.14",159,3142,1585,38.7,58.8,3.5,1,8.7,0.1,11.1,17.5,21.4,18.700000000000003,28.9,50.44557606619987,114205,15.6,below_median_poc_other
06001423601,3,6.122448979591836,49,"Alameda County, Census Tract 4236.01",35,2824,1342,34.7,64.2,3.1,0.5,15.2,0.2,3.8,10.4,30.2,23.2,18.8,47.521246458923514,119674,7.4,below_median_poc_other
06037481203,12,2.7586206896551726,435,"Los Angeles County, Census Tract 4812.03",266,6375,3122,40.4,12.4,1,1.6,56.2,0.2,20.5,14.8,20.1,20.9,28,48.97254901960784,66863,23.1,above_median_poc_other
06037530700,2,1.2269938650306749,163,"Los Angeles County, Census Tract 5307",276,2175,1052,34.6,17.2,1.3,2.2,4,0.4,54.5,19.3,23.200000000000003,22.2,24.5,48.367816091954026,62841,58,above_median_poc_other
06037190302,2,5.405405405405405,37,"Los Angeles County, Census Tract 1903.02",175,2283,1181,37.5,61.1,7.8,1.2,8.4,0.3,10.9,5.1,22.2,37,24.7,51.73017958826106,65976,19.9,below_median_poc_other
06029005402,0,0,181,"Kern County, Census Tract 54.02",259,5000,2529,37.5,68.5,4,0.7,6.2,0.5,6.2,20.200000000000003,19.3,19.3,24.6,50.580000000000005,79471,10.9,below_median_poc_other
06085508203,9,4.433497536945813,203,"Santa Clara County, Census Tract 5082.03",72,5573,2806,38.1,34.5,0.8,0.2,56.1,0,2.1,24.599999999999998,13,25,23.6,50.34990130988696,199904,3.1,below_median_poc_other
06083001909,0,0,38,"Santa Barbara County, Census Tract 19.09",204,3914,1786,54.4,69.8,0.8,1,1.6,0,12.9,13.2,12.8,14,26.1,45.63106796116505,81250,14.700000000000001,below_median_poc_other
06073019805,6,2.586206896551724,232,"San Diego County, Census Tract 198.05",193,4138,1915,41.1,52.9,2.8,1.6,4.7,0.3,20.7,17.4,18.5,18.3,20.7,46.27839536007733,49911,25.1,above_median_poc_other
06067002700,10,6.211180124223603,161,"Sacramento County, Census Tract 27",1005,3545,1663,32.5,43.2,17.2,2.7,6.3,0.8,15.5,15.299999999999999,27.6,28,20.9,46.911142454160796,54329,35.4,above_median_poc_other
06005000101,3,3.296703296703297,91,"Amador County, Census Tract 1.01",249,4009,2045,59.9,85.6,0.5,1.2,1,0.2,1.9,10.600000000000001,8.5,12.5,30,51.01022698927413,74909,3.5999999999999996,below_median_poc_other
06013336104,21,8.571428571428571,245,"Contra Costa County, Census Tract 3361.04",150,3321,1768,32.7,19.6,6.3,2.4,17.4,0.4,39.5,21.200000000000003,24,26.900000000000002,21.8,53.23697681421259,59189,48.2,above_median_poc_other
